origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,forecaster_id
2,2007,131.15266391676,132.809741632892,1.69011908966044,1.67749604736881,73
4,2007,133.025138838546,134.791994935843,1.67267012851203,1.67132326713112,73
1,2008,136.898562947049,138.606419065038,1.67813171057998,1.66558220947769,73
2,2008,138.706376317125,140.351991163401,1.68454787653289,1.67250353160986,73
3,2008,141.485029692426,141.485029692426,1.74853583917428,1.74853583917428,73
4,2008,142.166167433365,142.166167433365,1.71551179311344,1.71551179311344,73
1,2009,143.746170577072,143.746170577072,1.70612350232051,1.70612350232051,73
3,2009,158.776635720165,160.412140228309,1.96110726414714,1.94765370901011,73
4,2009,167.650161190042,171.931979645288,2.1746054489191,2.24008879894283,73
1,2010,169.198438921922,171.146810446214,2.10602310636607,2.09232199567235,73
2,2010,171.47171892338,173.332811610162,2.11994009863239,2.10597530113259,73
3,2010,172.061609988072,173.766840603643,2.09214907438037,2.0786749959343,73
4,2010,173.166370964422,175.070484004298,2.08430048644107,2.08070042741626,73
1,2011,176.774980308026,178.719627722247,2.07710563084018,2.06453848646947,73
2,2011,177.831751928901,179.786932005489,2.05855668006554,2.04882991675592,73
3,2011,180.016093159923,181.709102890445,2.07459397925735,2.06179514609113,73
4,2015,213.086305885691,214.596825536036,2.01775452718121,2.00756962673702,73
1,2016,216.178696002688,218.073969083875,2.00229981650516,1.99237114541665,73
2,2016,218.007855740988,219.813104809805,2.00433162846798,1.99429281807171,73
1,2020,253.75336071685,255.674066906443,2.06949408894346,2.0605212842849,73
2,2020,260.233797904226,272.516159929747,2.15617283092528,2.34828843621855,73
3,2020,275.841560347133,299.319324431297,2.43271559990491,2.91402818809784,73
1,2021,454.473659968459,459.435384052043,10.544132430703,10.6253445505336,73
2,2021,465.236854902104,468.794844419632,11.2181056374629,11.1741002723274,73
3,2021,468.551933443336,471.984914083611,11.2233507199138,11.1817259292861,73
4,2021,473.002096600717,476.930467317275,11.3517324467215,11.3698454219655,73
1,2022,476.573164610706,480.184167419724,11.1669473922603,11.1220929187544,73
2,2022,480.110700543065,483.642392693027,11.1751322423625,11.1306963679701,73
1,2001,89.1531777904895,91.0280085719714,1.99014241299771,1.96446435285503,82
2,2003,107.290764997022,109.114716916479,1.97150468153129,1.95242063940365,82
3,2003,109.196585049457,110.947108770073,1.9874048253867,1.97121303045357,82
4,2003,110.599408159124,112.228922473549,1.98984251624118,1.97544780923868,82
