target_quarter,target_year,spf_filter_cy,spf_filter_ny,origin_quarter,origin_year
1,2000,3.89790377718173,3.89790377718173,3,2003
2,2000,4.15540944764012,4.15540944764012,3,2003
3,2000,3.2147277456406,3.2147277456406,3,2003
4,2000,2.76883546635942,2.76883546635942,3,2003
1,2001,2.40437219090883,2.40437219090883,3,2003
2,2001,1.59900045579822,1.59900045579822,3,2003
3,2001,1.38003815864227,1.38003815864227,3,2003
4,2001,0.567910799298388,0.567910799298388,3,2003
1,2002,0.396211004649549,0.396211004649549,3,2003
2,2002,0.788591243768488,0.788591243768488,3,2003
3,2002,0.955231361538877,0.955231361538878,3,2003
4,2002,1.20415062279278,1.20415062279278,3,2003
1,2003,0.790072977340728,0.790072977340728,3,2003
2,2003,0.295149250169454,-0.091996899224983,3,2003
3,2003,0.0476873865838168,0.133817394157497,3,2003
4,2003,-0.0347999012780623,0.971202232902517,3,2003
1,2004,,1.92384399242443,3,2003
2,2004,,2.49542904813757,3,2003
3,2004,,2.78122157599414,3,2003
4,2004,,2.87648575194633,3,2003
1,1992,2.68936877093335,2.68936876911457,4,2003
2,1992,1.6761753651416,1.6761753651416,4,2003
3,1992,1.47627068559584,1.47627068559584,4,2003
4,1992,0.280630453756192,0.280630453756192,4,2003
1,1993,-1.83494826044375,-1.83494826044375,4,2003
2,1993,-1.0840748365327,-1.0840748365327,4,2003
3,1993,-0.457195799074828,-0.457195799074828,4,2003
4,1993,0.101918545212953,0.101918545212953,4,2003
1,1994,1.66021259422988,1.66021259422988,4,2003
2,1994,2.2371269970717,2.2371269970717,4,2003
3,1994,2.50962922131519,2.50962922131519,4,2003
4,1994,3.01499817969881,3.01499817969881,4,2003
1,1995,2.60620261329261,2.60620261329261,4,2003
2,1995,2.60011087549845,2.60011087549845,4,2003
3,1995,2.15474341774395,2.15474341774395,4,2003
4,1995,1.55448191717289,1.55448191717289,4,2003
1,1996,1.24350584768855,1.24350584768855,4,2003
2,1996,1.30505992851908,1.30505992851908,4,2003
3,1996,1.6067503840846,1.6067503840846,4,2003
4,1996,1.53632430594679,1.53632430594679,4,2003
1,1997,1.5878402878386,1.5878402878386,4,2003
2,1997,2.20682138364423,2.20682138364423,4,2003
3,1997,2.35445158848304,2.35445158848304,4,2003
4,1997,3.22100985098039,3.22100985098039,4,2003
1,1998,3.7749207050565,3.7749207050565,4,2003
2,1998,2.91602553789136,2.91602553789136,4,2003
3,1998,2.78586099156704,2.78586099156704,4,2003
4,1998,2.05250328892519,2.05250328892519,4,2003
1,1999,2.12064772789817,2.12064772789817,4,2003
2,1999,2.31023172537825,2.31023172537825,4,2003
3,1999,3.03519926999274,3.03519926999274,4,2003
4,1999,3.81136838539171,3.81136838539171,4,2003
1,2000,3.90169150283084,3.90169150283084,4,2003
2,2000,4.15329838347918,4.15329838347918,4,2003
3,2000,3.19983396379284,3.19983396379284,4,2003
4,2000,2.74892204261688,2.74892204261688,4,2003
1,2001,2.47163486743003,2.47163486743003,4,2003
2,2001,1.63777812319812,1.63777812319812,4,2003
3,2001,1.47934090978024,1.47934090978024,4,2003
4,2001,0.773401954992048,0.773401954992048,4,2003
1,2002,0.440405107472031,0.440405107472031,4,2003
