origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd
3,2021,873.920709219529,877.105057979096,11.1694956586832,11.1329428897298,6.50963393923869,6.50563686047858
4,2021,881.193171285505,887.981904006928,11.3387707120372,11.3290191645905,6.66700641454668,6.64587854933694
1,2022,886.538440572901,890.028939599252,11.1017980474623,11.0646270492038,6.41086240629966,6.40741125114758
2,2022,893.589718684061,897.013169150999,11.1195995526975,11.07957846886,6.42288906359062,6.42127995208791
3,2022,902.388092468081,905.563465081968,11.22363171372,11.1865632495919,6.47685288826446,6.47316695145833
4,2022,900.880087370055,907.108198609744,11.0569063679852,10.9970192387216,6.3676881174699,6.35253574509451
1,2023,906.444602344484,909.912895835203,10.7343183527973,10.7000780499062,6.20243614605267,6.19946466955243
2,2023,912.224106879706,915.593265949872,10.7120114097546,10.6749639258786,6.17818231398393,6.17567201398583
3,2023,913.472288717573,916.567813754987,10.4937356312369,10.4591243334348,6.0558458489361,6.05245372393943
4,2023,913.909820703212,920.009978025547,10.4036470989422,10.3481838657445,6.01435471922196,6.00054301412
1,2024,923.51724732458,926.914945470037,10.2664481421965,10.233834791489,5.96134955268771,5.95791885679178
2,2024,929.801382991188,933.127059686696,10.26641843566,10.2318415250481,5.95315668650676,5.95077846781189
3,2024,926.73148617409,929.768917569564,9.88959711473795,9.85802734677567,5.75571905801511,5.75258124838491
4,2024,927.562447206839,933.554483745446,9.81887480796055,9.76823754780528,5.72974798198714,5.71697404591805
