origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,forecaster_id
2,2022,482.932912791783,486.356942640652,11.1679959326498,11.1317348157837,88
3,2022,487.166000756749,490.752364736056,11.2871905303202,11.2541458193079,88
4,2022,488.501048981723,491.848872104952,11.0870969073883,11.055658325495,88
1,2023,490.133585697105,493.752896906072,10.7891684789941,10.7550382237618,88
2,2023,493.490807454966,496.881593118844,10.7585919267573,10.7248432375383,88
3,2023,493.747816900743,497.273954419396,10.5499530688601,10.5195375741318,88
4,2023,495.997635391012,499.306873922952,10.4370123675073,10.4086900366889,88
2,2024,503.084094554501,506.442474614983,10.3102600135925,10.2790342967601,88
3,2024,500.980219433249,504.455888776108,9.94127977269182,9.91364572832323,88
4,2024,503.348288226753,506.613583917736,9.8503180589663,9.82465112109108,88
1,2004,117.426610047755,119.343616923859,2.05362777514689,2.03523025922,18
4,2004,121.403958270545,123.30800641128,2.0269261044894,2.02341597249022,18
3,2005,121.620879093927,123.190511031009,1.7905827080501,1.7758654285022,18
1,2006,125.620479072315,127.815530328079,1.73855787788296,1.73030207300951,18
2,2006,126.651439679692,128.316222475001,1.743663707998,1.73036632150393,18
4,2006,126.890870426203,128.316734256519,1.677175242388,1.66689558696166,18
1,2007,130.96103770659,132.691437823255,1.6916854806793,1.67945197216691,18
3,2007,133.379780500085,134.990810362158,1.68017312167637,1.6705450584711,18
1,2009,146.566250006199,148.311825628676,1.69362291608442,1.6829143879891,18
1,2010,170.959914979434,172.901305204698,2.10479091203081,2.09129464388675,18
1,2004,117.409721032774,119.327160197178,2.05322358182287,2.03463863814888,97
2,2004,118.811900284379,120.626714350232,2.03823625033829,2.02088747432084,97
3,2004,120.316527039874,121.993234443958,2.0388548830887,2.01995391417596,97
4,2004,120.955036708271,122.452356677949,2.0100237802124,1.99143461454237,97
1,2005,125.710338751716,127.604696005875,2.04316950056775,2.02526483827004,97
2,2005,125.788796556993,127.551742844607,1.98072369607323,1.96396069133388,97
3,2005,121.824448221195,123.744956139266,1.79734859410849,1.79318825862016,97
