origin_year,origin_month,origin_day,target_quarter,target_year,rgdp_growth,imputed,rgdp_growth_ann
2001,6,30,3,1992,-1.05851591465951,FALSE,
2001,6,30,4,1992,-1.12472806440553,FALSE,
2001,6,30,1,1993,-2.72660949136438,FALSE,
2001,6,30,2,1993,0.162038884735183,FALSE,
2001,6,30,3,1993,1.57649647215792,FALSE,
2001,6,30,4,1993,1.62923287945829,FALSE,-0.861354265450365
2001,6,30,1,1994,3.59586130502141,FALSE,
2001,6,30,2,1994,2.2504675990455,FALSE,
2001,6,30,3,1994,2.98757229601374,FALSE,
2001,6,30,4,1994,3.18368938526112,FALSE,2.40389789432036
2001,6,30,1,1995,2.28350917833167,FALSE,
2001,6,30,2,1995,2.17301888543981,FALSE,
2001,6,30,3,1995,0.382008238114961,FALSE,
2001,6,30,4,1995,1.02750689639974,FALSE,2.19501135830089
2001,6,30,1,1996,1.16946291942803,FALSE,
2001,6,30,2,1996,2.15011642939214,FALSE,
2001,6,30,3,1996,2.50193949805644,FALSE,
2001,6,30,4,1996,0.632818857244355,FALSE,1.42240525699282
2001,6,30,1,1997,1.13490336842408,FALSE,
2001,6,30,2,1997,4.75635876569991,FALSE,
2001,6,30,3,1997,2.84976929426788,FALSE,
2001,6,30,4,1997,3.58184983691825,FALSE,2.31477763728785
2001,6,30,1,1998,3.8009913844905,FALSE,
2001,6,30,2,1998,1.3395867391635,FALSE,
2001,6,30,3,1998,2.33251961747425,FALSE,
2001,6,30,4,1998,0.944886278737345,FALSE,2.86696214263329
2001,6,30,1,1999,3.25148316482584,FALSE,
2001,6,30,2,1999,2.11810759070918,FALSE,
2001,6,30,3,1999,4.12102083953767,FALSE,
2001,6,30,4,1999,4.03884030982378,FALSE,2.52799670277242
2001,6,30,1,2000,3.77528860696574,FALSE,
2001,6,30,2,2000,3.1226687751984,FALSE,
2001,6,30,3,2000,2.27915682084887,FALSE,
2001,6,30,4,2000,2.68168566946252,FALSE,3.38220156568767
2001,6,30,1,2001,,TRUE,
2001,6,30,2,2001,,TRUE,
2001,6,30,3,2001,,TRUE,
2001,6,30,4,2001,,TRUE,
2001,7,31,2,1991,1.05121673845479,FALSE,
2001,7,31,3,1991,-0.00996940672730595,FALSE,
2001,7,31,4,1991,3.9205399913538,FALSE,
2001,7,31,1,1992,5.99421609034667,FALSE,
2001,7,31,2,1992,-2.49120673522403,FALSE,
2001,7,31,3,1992,-0.937605519471374,FALSE,
2001,7,31,4,1992,-1.15104916961237,FALSE,
2001,7,31,1,1993,-2.88262496431672,FALSE,
2001,7,31,2,1993,0.314659308714549,FALSE,
2001,7,31,3,1993,1.60944996498464,FALSE,
2001,7,31,4,1993,1.62043889784009,FALSE,-0.861355029208777
2001,7,31,1,1994,3.51688399695422,FALSE,
2001,7,31,2,1994,2.32002058474339,FALSE,
2001,7,31,3,1994,2.83021061053559,FALSE,
2001,7,31,4,1994,3.40629517199069,FALSE,2.40389906208551
2001,7,31,1,1995,2.21391989285327,FALSE,
2001,7,31,2,1995,2.15905713703166,FALSE,
2001,7,31,3,1995,0.379495896299087,FALSE,
2001,7,31,4,1995,0.93747579658503,FALSE,2.19500963382258
2001,7,31,1,1996,1.32324665575336,FALSE,
2001,7,31,2,1996,2.05471436340903,FALSE,
2001,7,31,3,1996,2.49460789548872,FALSE,
2001,7,31,4,1996,0.606355068013964,FALSE,1.42240600846943
2001,7,31,1,1997,1.15901880189271,FALSE,
2001,7,31,2,1997,4.82842628678435,FALSE,
2001,7,31,3,1997,2.82310645558797,FALSE,
2001,7,31,4,1997,3.51580695634033,FALSE,2.31477891574361
2001,7,31,1,1998,3.91281199136773,FALSE,
2001,7,31,2,1998,1.33558559800491,FALSE,
2001,7,31,3,1998,2.2249500460034,FALSE,
2001,7,31,4,1998,0.911296120925131,FALSE,2.86696032176415
2001,7,31,1,1999,3.29251087836839,FALSE,
2001,7,31,2,1999,2.1866755556742,FALSE,
2001,7,31,3,1999,4.11598662193462,FALSE,
2001,7,31,4,1999,4.00286635529183,FALSE,2.52820096018607
2001,7,31,1,2000,3.84502351856724,FALSE,
2001,7,31,2,2000,3.02277283784982,FALSE,
2001,7,31,3,2000,2.39410547984213,FALSE,
2001,7,31,4,2000,2.43192810853234,FALSE,3.37643084908619
2001,7,31,1,2001,2.20515515349451,FALSE,
2001,7,31,2,2001,,TRUE,
2001,7,31,3,2001,,TRUE,
2001,7,31,4,2001,,TRUE,
2001,8,31,2,1991,1.08135113756724,FALSE,
2001,8,31,3,1991,-0.0169395832674168,FALSE,
2001,8,31,4,1991,3.86028875985958,FALSE,
2001,8,31,1,1992,6.01759821926522,FALSE,
2001,8,31,2,1992,-2.48899087981659,FALSE,
2001,8,31,3,1992,-0.908697812907111,FALSE,
2001,8,31,4,1992,-1.14652181647289,FALSE,
2001,8,31,1,1993,-2.86109101661087,FALSE,
2001,8,31,2,1993,0.301059793002567,FALSE,
2001,8,31,3,1993,1.54294792637655,FALSE,
